pitch,attract_gain,drone_repel_gain,map_label,n_drones,seed,final_coverage,overlap_m2,wasted_visits,energy_used_j,time_to_terminal,score
1.6,4.0,2.0,open_33,2,0,0.07388137356919876,0.0,5729,242424.00000000003,618.000000000072,-0.3668906570821422
1.6,4.0,2.0,open_33,2,1,0.047866805411030174,0.0,5596,242424.00000000003,618.000000000072,-0.3941316978777957
1.6,4.0,2.0,open_33,5,0,0.15816857440166493,0.0,13944,606060.0,625.4000000000736,-0.2830409097703618
1.6,4.0,2.0,open_33,5,1,0.1404786680541103,0.0,13972,606060.0,618.000000000072,-0.3010948612418263
1.6,4.0,2.0,open_33,10,0,0.3465140478668054,2225.0,27177,1212120.0,625.4000000000736,-0.12208254860938536
1.6,4.0,2.0,open_33,10,1,0.7075962539021852,13150.0,26769,1212120.0,625.8000000000737,0.10637981997797932
1.6,4.0,2.0,open_33,20,0,1.0,23900.0,25382,1249516.857460673,311.20000000000226,0.3380545040326707
1.6,4.0,2.0,open_33,20,1,1.0,23725.0,26543,1265238.1739564724,316.40000000000344,0.33884102625553125
1.6,4.0,2.0,partial_33,2,0,0.08427672955974842,0.0,3228,242424.00000000003,720.8000000000953,-0.35406756313962773
1.6,4.0,2.0,partial_33,2,1,0.08930817610062892,0.0,1208,242424.00000000003,732.8000000000981,-0.3384826326909617
1.6,4.0,2.0,partial_33,5,0,0.2830188679245283,375.0,7818,606060.0,720.8000000000953,-0.15869356297948842
1.6,4.0,2.0,partial_33,5,1,0.17484276729559747,75.0,4997,606060.0,732.9000000000981,-0.26261459374204044
1.6,4.0,2.0,partial_33,10,0,0.5283018867924528,900.0,14446,1212120.0,726.9000000000967,0.07874825308746955
1.6,4.0,2.0,partial_33,10,1,0.33081761006289306,450.0,10780,1212120.0,732.9000000000981,-0.1132744896023948
1.6,4.0,2.0,partial_33,20,0,0.6993710691823899,8125.0,18957,2424240.0,724.5000000000962,0.14083326269290344
1.6,4.0,2.0,partial_33,20,1,0.5408805031446541,4050.0,20507,2424240.0,732.9000000000981,0.04146532439486775
1.6,4.0,2.0,closed_33,2,0,0.20588235294117646,0.0,814,242424.00000000003,728.000000000097,-0.2002984259084127
1.6,4.0,2.0,closed_33,2,1,0.14705882352941177,0.0,1034,242424.00000000003,734.9000000000985,-0.27459741716168146
1.6,4.0,2.0,closed_33,5,0,0.35813148788927335,250.0,2613,606060.0,733.8000000000983,-0.06948199137811154
1.6,4.0,2.0,closed_33,5,1,0.39273356401384085,400.0,5655,606060.0,734.9000000000985,-0.04843768403882007
1.6,4.0,2.0,closed_33,10,0,0.5553633217993079,1700.0,8271,1212120.0,733.8000000000983,0.08683286026646389
