attract_gain,drone_repel_gain,drone_repel_range,map_label,n_drones,seed,final_coverage,overlap_m2,wasted_visits,energy_used_j,time_to_terminal,score
1.0,10.0,1.5,partial_33,10,1,1.0,12600.0,3757,269875.82975907414,143.09999999999616,0.5300456373935347
1.0,10.0,1.5,partial_33,20,0,1.0,15825.0,4243,295927.2834871132,78.29999999999983,0.49083993823568817
1.0,10.0,1.5,partial_33,20,1,1.0,14350.0,4469,316514.35978744784,84.19999999999949,0.5098449777119712
1.0,10.0,1.5,closed_33,2,0,0.43771626297577854,0.0,2184,242424.00000000003,706.200000000092,0.024416668757021392
1.0,10.0,1.5,closed_33,2,1,0.4688581314878893,25.0,2311,242424.00000000003,714.5000000000939,0.05538187511149115
1.0,10.0,1.5,closed_33,5,0,0.8788927335640139,4125.0,6557,606060.0,711.3000000000932,0.37037927597665765
1.0,10.0,1.5,closed_33,5,1,0.7577854671280276,4225.0,7763,606060.0,700.7000000000908,0.24164719599606224
1.0,10.0,1.5,closed_33,10,0,0.9705882352941176,5900.0,13077,1212120.0,717.4000000000946,0.41599296050640777
1.0,10.0,1.5,closed_33,10,1,0.9705882352941176,7900.0,12248,1212120.0,707.4000000000923,0.37526914901992603
1.0,10.0,1.5,closed_33,20,0,1.0,11800.0,4592,387179.23021291243,106.9999999999982,0.4654875006726149
1.0,10.0,1.5,closed_33,20,1,1.0,10900.0,8434,733961.4703136254,207.4999999999925,0.44921151945791515
1.0,10.0,2.5,open_33,2,0,0.9219562955254943,1925.0,3339,242424.00000000003,631.1000000000749,0.5163856327064523
1.0,10.0,2.5,open_33,2,1,0.11238293444328824,0.0,3785,242424.00000000003,648.3000000000789,-0.32373887963896764
1.0,10.0,2.5,open_33,5,0,0.8335067637877211,4300.0,9664,606060.0,646.7000000000785,0.3583305058009849
1.0,10.0,2.5,open_33,5,1,1.0,13625.0,8095,519969.1542983506,538.5000000000539,0.4377738658948549
1.0,10.0,2.5,open_33,10,0,1.0,15950.0,4878,325616.7505776929,169.69999999999465,0.5114046575623084
1.0,10.0,2.5,open_33,10,1,1.0,17200.0,6006,406104.46694085747,212.7999999999922,0.4782103564254749
1.0,10.0,2.5,open_33,20,0,1.0,16475.0,3062,220469.52449725196,57.70000000000055,0.5528034108068106
1.0,10.0,2.5,open_33,20,1,1.0,17550.0,3561,249271.17112565506,65.20000000000057,0.5297558313780758
1.0,10.0,2.5,partial_33,2,0,0.3320754716981132,100.0,3692,242424.00000000003,668.8000000000835,-0.09385818426167933
1.0,10.0,2.5,partial_33,2,1,0.4591194968553459,400.0,3578,242424.00000000003,662.4000000000821,0.036408049506303414
1.0,10.0,2.5,partial_33,5,0,0.9861635220125786,9100.0,9049,606060.0,672.4000000000843,0.4282800418988725
1.0,10.0,2.5,partial_33,5,1,0.7635220125786164,2850.0,9170,606060.0,669.5000000000837,0.2946840454075572
